,gene_ids,feature_types,n_cells
GRCh38___EPHA2,GRCh38___ENSG00000142627,Gene Expression,148
GRCh38___AL451042.2,GRCh38___ENSG00000227959,Gene Expression,4
GRCh38___ARHGEF19,GRCh38___ENSG00000142632,Gene Expression,2420
GRCh38___CPLANE2,GRCh38___ENSG00000132881,Gene Expression,422
GRCh38___FBXO42,GRCh38___ENSG00000037637,Gene Expression,9489
GRCh38___SZRD1,GRCh38___ENSG00000055070,Gene Expression,31174
GRCh38___SPATA21,GRCh38___ENSG00000187144,Gene Expression,129
GRCh38___NECAP2,GRCh38___ENSG00000157191,Gene Expression,24728
GRCh38___LINC01772,GRCh38___ENSG00000226029,Gene Expression,199
GRCh38___AL137802.2,GRCh38___ENSG00000261135,Gene Expression,156
GRCh38___NBPF1,GRCh38___ENSG00000219481,Gene Expression,2475
GRCh38___AL021920.3,GRCh38___ENSG00000282740,Gene Expression,4
GRCh38___CROCC,GRCh38___ENSG00000058453,Gene Expression,2276
GRCh38___BX284668.5,GRCh38___ENSG00000238142,Gene Expression,4635
GRCh38___BX284668.6,GRCh38___ENSG00000272426,Gene Expression,601
GRCh38___MFAP2,GRCh38___ENSG00000117122,Gene Expression,10
GRCh38___ATP13A2,GRCh38___ENSG00000159363,Gene Expression,3601
GRCh38___SDHB,GRCh38___ENSG00000117118,Gene Expression,29810
GRCh38___PADI2,GRCh38___ENSG00000117115,Gene Expression,898
GRCh38___PADI4,GRCh38___ENSG00000159339,Gene Expression,2144
GRCh38___PADI6,GRCh38___ENSG00000276747,Gene Expression,29
GRCh38___RCC2,GRCh38___ENSG00000179051,Gene Expression,10024
GRCh38___ARHGEF10L,GRCh38___ENSG00000074964,Gene Expression,2472
GRCh38___IGSF21,GRCh38___ENSG00000117154,Gene Expression,3
GRCh38___ALDH4A1,GRCh38___ENSG00000159423,Gene Expression,1422
GRCh38___IFFO2,GRCh38___ENSG00000169991,Gene Expression,3582
GRCh38___UBR4,GRCh38___ENSG00000127481,Gene Expression,19127
GRCh38___AL035413.1,GRCh38___ENSG00000230424,Gene Expression,270
GRCh38___EMC1,GRCh38___ENSG00000127463,Gene Expression,3970
GRCh38___MRTO4,GRCh38___ENSG00000053372,Gene Expression,9703
GRCh38___AKR7A3,GRCh38___ENSG00000162482,Gene Expression,51
GRCh38___AKR7A2,GRCh38___ENSG00000053371,Gene Expression,14436
GRCh38___PQLC2,GRCh38___ENSG00000040487,Gene Expression,1947
GRCh38___CAPZB,GRCh38___ENSG00000077549,Gene Expression,65813
GRCh38___AL031727.2,GRCh38___ENSG00000235185,Gene Expression,3
GRCh38___MINOS1,GRCh38___ENSG00000173436,Gene Expression,44714
GRCh38___NBL1,GRCh38___ENSG00000158747,Gene Expression,757
GRCh38___HTR6,GRCh38___ENSG00000158748,Gene Expression,4
GRCh38___TMCO4,GRCh38___ENSG00000162542,Gene Expression,5280
GRCh38___OTUD3,GRCh38___ENSG00000169914,Gene Expression,1436
GRCh38___PLA2G5,GRCh38___ENSG00000127472,Gene Expression,3
GRCh38___PLA2G2D,GRCh38___ENSG00000117215,Gene Expression,37
GRCh38___PLA2G2F,GRCh38___ENSG00000158786,Gene Expression,3
GRCh38___Z98257.1,GRCh38___ENSG00000227066,Gene Expression,21
GRCh38___PLA2G2C,GRCh38___ENSG00000187980,Gene Expression,103
GRCh38___UBXN10-AS1,GRCh38___ENSG00000225986,Gene Expression,2229
GRCh38___UBXN10,GRCh38___ENSG00000162543,Gene Expression,616
GRCh38___AL020998.1,GRCh38___ENSG00000226664,Gene Expression,36
GRCh38___CAMK2N1,GRCh38___ENSG00000162545,Gene Expression,625
GRCh38___MUL1,GRCh38___ENSG00000090432,Gene Expression,10192
GRCh38___CDA,GRCh38___ENSG00000158825,Gene Expression,9805
GRCh38___PINK1,GRCh38___ENSG00000158828,Gene Expression,1048
GRCh38___PINK1-AS,GRCh38___ENSG00000117242,Gene Expression,385
GRCh38___DDOST,GRCh38___ENSG00000244038,Gene Expression,45178
GRCh38___KIF17,GRCh38___ENSG00000117245,Gene Expression,44
GRCh38___SH2D5,GRCh38___ENSG00000189410,Gene Expression,3
GRCh38___HP1BP3,GRCh38___ENSG00000127483,Gene Expression,49238
