,gene_ids,feature_types,n_cells
GRCh38___ADORA2B,GRCh38___ENSG00000170425,Gene Expression,914
GRCh38___ZSWIM7,GRCh38___ENSG00000214941,Gene Expression,11402
GRCh38___TTC19,GRCh38___ENSG00000011295,Gene Expression,9176
GRCh38___AC002553.2,GRCh38___ENSG00000275413,Gene Expression,133
GRCh38___NCOR1,GRCh38___ENSG00000141027,Gene Expression,49853
GRCh38___AC002553.1,GRCh38___ENSG00000227782,Gene Expression,44
GRCh38___PIGL,GRCh38___ENSG00000108474,Gene Expression,4825
GRCh38___CENPV,GRCh38___ENSG00000166582,Gene Expression,1037
GRCh38___UBB,GRCh38___ENSG00000170315,Gene Expression,76801
GRCh38___AC093484.3,GRCh38___ENSG00000265401,Gene Expression,373
GRCh38___AC093484.2,GRCh38___ENSG00000264739,Gene Expression,350
GRCh38___TRPV2,GRCh38___ENSG00000187688,Gene Expression,16275
GRCh38___AC093484.4,GRCh38___ENSG00000266651,Gene Expression,5
GRCh38___LRRC75A,GRCh38___ENSG00000181350,Gene Expression,491
GRCh38___ZNF287,GRCh38___ENSG00000141040,Gene Expression,1573
GRCh38___ZNF624,GRCh38___ENSG00000197566,Gene Expression,1438
GRCh38___CCDC144A,GRCh38___ENSG00000170160,Gene Expression,626
GRCh38___AC098850.3,GRCh38___ENSG00000266302,Gene Expression,383
GRCh38___TNFRSF13B,GRCh38___ENSG00000240505,Gene Expression,548
GRCh38___AC104024.1,GRCh38___ENSG00000230709,Gene Expression,158
GRCh38___LINC02090,GRCh38___ENSG00000230969,Gene Expression,34
GRCh38___MPRIP,GRCh38___ENSG00000133030,Gene Expression,9542
GRCh38___MPRIP-AS1,GRCh38___ENSG00000225442,Gene Expression,21
GRCh38___PLD6,GRCh38___ENSG00000179598,Gene Expression,741
GRCh38___FLCN,GRCh38___ENSG00000154803,Gene Expression,1216
GRCh38___AC055811.3,GRCh38___ENSG00000266498,Gene Expression,16
GRCh38___COPS3,GRCh38___ENSG00000141030,Gene Expression,23457
GRCh38___NT5M,GRCh38___ENSG00000205309,Gene Expression,445
GRCh38___MED9,GRCh38___ENSG00000141026,Gene Expression,9529
GRCh38___RASD1,GRCh38___ENSG00000108551,Gene Expression,1216
GRCh38___PEMT,GRCh38___ENSG00000133027,Gene Expression,8100
GRCh38___AC020558.1,GRCh38___ENSG00000264666,Gene Expression,150
GRCh38___SMCR2,GRCh38___ENSG00000223979,Gene Expression,4
GRCh38___RAI1,GRCh38___ENSG00000108557,Gene Expression,1501
GRCh38___SMCR5,GRCh38___ENSG00000226746,Gene Expression,17
GRCh38___SREBF1,GRCh38___ENSG00000072310,Gene Expression,4807
GRCh38___TOM1L2,GRCh38___ENSG00000175662,Gene Expression,4240
GRCh38___AC122129.1,GRCh38___ENSG00000197815,Gene Expression,16
GRCh38___DRC3,GRCh38___ENSG00000171962,Gene Expression,85
GRCh38___ATPAF2,GRCh38___ENSG00000171953,Gene Expression,6908
GRCh38___GID4,GRCh38___ENSG00000141034,Gene Expression,1871
GRCh38___DRG2,GRCh38___ENSG00000108591,Gene Expression,15870
GRCh38___MYO15A,GRCh38___ENSG00000091536,Gene Expression,185
GRCh38___AC087164.1,GRCh38___ENSG00000266677,Gene Expression,910
GRCh38___ALKBH5,GRCh38___ENSG00000091542,Gene Expression,9874
GRCh38___LLGL1,GRCh38___ENSG00000131899,Gene Expression,1617
GRCh38___FLII,GRCh38___ENSG00000177731,Gene Expression,19339
GRCh38___MIEF2,GRCh38___ENSG00000177427,Gene Expression,1551
GRCh38___AC127537.1,GRCh38___ENSG00000260647,Gene Expression,12
GRCh38___TOP3A,GRCh38___ENSG00000177302,Gene Expression,4860
GRCh38___SMCR8,GRCh38___ENSG00000176994,Gene Expression,5247
GRCh38___SHMT1,GRCh38___ENSG00000176974,Gene Expression,6186
GRCh38___EVPLL,GRCh38___ENSG00000214860,Gene Expression,7
GRCh38___LINC02076,GRCh38___ENSG00000220161,Gene Expression,205
GRCh38___LGALS9C,GRCh38___ENSG00000171916,Gene Expression,1000
GRCh38___ZNF286B,GRCh38___ENSG00000249459,Gene Expression,439
GRCh38___TRIM16L,GRCh38___ENSG00000108448,Gene Expression,502
GRCh38___TVP23B,GRCh38___ENSG00000171928,Gene Expression,7775
GRCh38___AC107982.3,GRCh38___ENSG00000265478,Gene Expression,15
GRCh38___PRPSAP2,GRCh38___ENSG00000141127,Gene Expression,8599
GRCh38___SLC5A10,GRCh38___ENSG00000154025,Gene Expression,178
GRCh38___FAM83G,GRCh38___ENSG00000188522,Gene Expression,769
GRCh38___GRAP,GRCh38___ENSG00000154016,Gene Expression,2096
GRCh38___AC007952.7,GRCh38___ENSG00000263394,Gene Expression,19
GRCh38___AC007952.4,GRCh38___ENSG00000262202,Gene Expression,2132
GRCh38___GRAPL,GRCh38___ENSG00000189152,Gene Expression,270
GRCh38___AC007952.6,GRCh38___ENSG00000262319,Gene Expression,11
GRCh38___AC007952.5,GRCh38___ENSG00000262292,Gene Expression,6
GRCh38___EPN2,GRCh38___ENSG00000072134,Gene Expression,1981
GRCh38___AC106017.2,GRCh38___ENSG00000281856,Gene Expression,3
GRCh38___EPN2-AS1,GRCh38___ENSG00000235397,Gene Expression,13
GRCh38___AC124066.1,GRCh38___ENSG00000265263,Gene Expression,13
GRCh38___B9D1,GRCh38___ENSG00000108641,Gene Expression,544
GRCh38___MAPK7,GRCh38___ENSG00000166484,Gene Expression,5686
GRCh38___MFAP4,GRCh38___ENSG00000166482,Gene Expression,75
GRCh38___RNF112,GRCh38___ENSG00000128482,Gene Expression,39
GRCh38___SLC47A1,GRCh38___ENSG00000142494,Gene Expression,252
GRCh38___ALDH3A2,GRCh38___ENSG00000072210,Gene Expression,4699
GRCh38___AC115989.2,GRCh38___ENSG00000264932,Gene Expression,4
GRCh38___ALDH3A1,GRCh38___ENSG00000108602,Gene Expression,8
GRCh38___ULK2,GRCh38___ENSG00000083290,Gene Expression,1500
GRCh38___AC015726.1,GRCh38___ENSG00000270091,Gene Expression,66
GRCh38___AKAP10,GRCh38___ENSG00000108599,Gene Expression,8466
GRCh38___AC005730.2,GRCh38___ENSG00000261033,Gene Expression,14
GRCh38___SPECC1,GRCh38___ENSG00000128487,Gene Expression,5835
GRCh38___LGALS9B,GRCh38___ENSG00000170298,Gene Expression,351
GRCh38___AC015818.2,GRCh38___ENSG00000260907,Gene Expression,3
GRCh38___CCDC144NL,GRCh38___ENSG00000205212,Gene Expression,11
GRCh38___CCDC144NL-AS1,GRCh38___ENSG00000233098,Gene Expression,45
GRCh38___AC107926.1,GRCh38___ENSG00000264660,Gene Expression,7
GRCh38___USP22,GRCh38___ENSG00000124422,Gene Expression,11053
GRCh38___AC087393.2,GRCh38___ENSG00000263986,Gene Expression,86
GRCh38___DHRS7B,GRCh38___ENSG00000109016,Gene Expression,3562
GRCh38___TMEM11,GRCh38___ENSG00000178307,Gene Expression,14672
GRCh38___AC087294.1,GRCh38___ENSG00000235530,Gene Expression,117
GRCh38___NATD1,GRCh38___ENSG00000274180,Gene Expression,843
GRCh38___MAP2K3,GRCh38___ENSG00000034152,Gene Expression,28456
GRCh38___KCNJ12,GRCh38___ENSG00000184185,Gene Expression,13
GRCh38___AC068418.2,GRCh38___ENSG00000265043,Gene Expression,3
GRCh38___AC068418.1,GRCh38___ENSG00000264023,Gene Expression,29
GRCh38___C17orf51,GRCh38___ENSG00000212719,Gene Expression,468
GRCh38___MTRNR2L1,GRCh38___ENSG00000256618,Gene Expression,40
GRCh38___WSB1,GRCh38___ENSG00000109046,Gene Expression,38868
GRCh38___AC026254.2,GRCh38___ENSG00000266313,Gene Expression,7
GRCh38___KSR1,GRCh38___ENSG00000141068,Gene Expression,3305
GRCh38___AC015688.4,GRCh38___ENSG00000266728,Gene Expression,12
GRCh38___LGALS9,GRCh38___ENSG00000168961,Gene Expression,34287
GRCh38___AC005697.2,GRCh38___ENSG00000266527,Gene Expression,7
GRCh38___LYRM9,GRCh38___ENSG00000232859,Gene Expression,2738
GRCh38___NLK,GRCh38___ENSG00000087095,Gene Expression,1211
GRCh38___TMEM97,GRCh38___ENSG00000109084,Gene Expression,4471
GRCh38___IFT20,GRCh38___ENSG00000109083,Gene Expression,17899
GRCh38___TNFAIP1,GRCh38___ENSG00000109079,Gene Expression,1975
GRCh38___POLDIP2,GRCh38___ENSG00000004142,Gene Expression,14791
GRCh38___TMEM199,GRCh38___ENSG00000244045,Gene Expression,12730
GRCh38___AC002094.2,GRCh38___ENSG00000265618,Gene Expression,46
GRCh38___SARM1,GRCh38___ENSG00000004139,Gene Expression,2059
GRCh38___VTN,GRCh38___ENSG00000109072,Gene Expression,14
GRCh38___SLC46A1,GRCh38___ENSG00000076351,Gene Expression,271
GRCh38___AC015917.2,GRCh38___ENSG00000265254,Gene Expression,60
GRCh38___AC005726.1,GRCh38___ENSG00000258472,Gene Expression,597
GRCh38___UNC119,GRCh38___ENSG00000109103,Gene Expression,17896
GRCh38___PIGS,GRCh38___ENSG00000087111,Gene Expression,12061
GRCh38___ALDOC,GRCh38___ENSG00000109107,Gene Expression,2715
GRCh38___SPAG5,GRCh38___ENSG00000076382,Gene Expression,2349
GRCh38___AC005726.5,GRCh38___ENSG00000265287,Gene Expression,75
GRCh38___SGK494,GRCh38___ENSG00000167524,Gene Expression,361
GRCh38___KIAA0100,GRCh38___ENSG00000007202,Gene Expression,10105
GRCh38___AC005726.2,GRCh38___ENSG00000264044,Gene Expression,16
GRCh38___SDF2,GRCh38___ENSG00000132581,Gene Expression,19750
GRCh38___SUPT6H,GRCh38___ENSG00000109111,Gene Expression,25162
GRCh38___AC010761.3,GRCh38___ENSG00000265205,Gene Expression,25
GRCh38___PROCA1,GRCh38___ENSG00000167525,Gene Expression,1118
GRCh38___RAB34,GRCh38___ENSG00000109113,Gene Expression,10646
GRCh38___RPL23A,GRCh38___ENSG00000198242,Gene Expression,84088
GRCh38___AC010761.1,GRCh38___ENSG00000264577,Gene Expression,68
GRCh38___TLCD1,GRCh38___ENSG00000160606,Gene Expression,102
GRCh38___NEK8,GRCh38___ENSG00000160602,Gene Expression,1983
GRCh38___AC010761.6,GRCh38___ENSG00000267729,Gene Expression,3
GRCh38___AC010761.2,GRCh38___ENSG00000265073,Gene Expression,5
GRCh38___TRAF4,GRCh38___ENSG00000076604,Gene Expression,5386
GRCh38___AC010761.4,GRCh38___ENSG00000265474,Gene Expression,7
GRCh38___AC010761.5,GRCh38___ENSG00000265840,Gene Expression,3
GRCh38___FAM222B,GRCh38___ENSG00000173065,Gene Expression,3963
GRCh38___ERAL1,GRCh38___ENSG00000132591,Gene Expression,9946
GRCh38___AC024267.1,GRCh38___ENSG00000264066,Gene Expression,3
GRCh38___FLOT2,GRCh38___ENSG00000132589,Gene Expression,24451
GRCh38___AC024267.6,GRCh38___ENSG00000266642,Gene Expression,42
GRCh38___DHRS13,GRCh38___ENSG00000167536,Gene Expression,1816
GRCh38___PHF12,GRCh38___ENSG00000109118,Gene Expression,11741
GRCh38___AC024267.4,GRCh38___ENSG00000265845,Gene Expression,69
GRCh38___AC024267.5,GRCh38___ENSG00000265908,Gene Expression,12
GRCh38___PIPOX,GRCh38___ENSG00000179761,Gene Expression,180
GRCh38___SEZ6,GRCh38___ENSG00000063015,Gene Expression,68
GRCh38___MYO18A,GRCh38___ENSG00000196535,Gene Expression,6023
GRCh38___TIAF1,GRCh38___ENSG00000221995,Gene Expression,161
GRCh38___AC024619.3,GRCh38___ENSG00000263709,Gene Expression,7
GRCh38___CRYBA1,GRCh38___ENSG00000108255,Gene Expression,12
GRCh38___NUFIP2,GRCh38___ENSG00000108256,Gene Expression,22629
GRCh38___AC068025.2,GRCh38___ENSG00000266111,Gene Expression,15
GRCh38___AC068025.1,GRCh38___ENSG00000264808,Gene Expression,98
GRCh38___TAOK1,GRCh38___ENSG00000160551,Gene Expression,10787
GRCh38___ABHD15,GRCh38___ENSG00000168792,Gene Expression,1829
GRCh38___TP53I13,GRCh38___ENSG00000167543,Gene Expression,15306
GRCh38___GIT1,GRCh38___ENSG00000108262,Gene Expression,4720
GRCh38___ANKRD13B,GRCh38___ENSG00000198720,Gene Expression,231
GRCh38___CORO6,GRCh38___ENSG00000167549,Gene Expression,376
GRCh38___SSH2,GRCh38___ENSG00000141298,Gene Expression,36085
GRCh38___AC023389.1,GRCh38___ENSG00000263657,Gene Expression,27
GRCh38___AC104982.1,GRCh38___ENSG00000263477,Gene Expression,19
GRCh38___EFCAB5,GRCh38___ENSG00000176927,Gene Expression,421
GRCh38___NSRP1,GRCh38___ENSG00000126653,Gene Expression,17271
GRCh38___AC104984.3,GRCh38___ENSG00000265739,Gene Expression,60
GRCh38___SLC6A4,GRCh38___ENSG00000108576,Gene Expression,80
GRCh38___AC104984.4,GRCh38___ENSG00000266120,Gene Expression,3
GRCh38___BLMH,GRCh38___ENSG00000108578,Gene Expression,11596
GRCh38___CPD,GRCh38___ENSG00000108582,Gene Expression,15951
GRCh38___GOSR1,GRCh38___ENSG00000108587,Gene Expression,14318
GRCh38___TBC1D29,GRCh38___ENSG00000266733,Gene Expression,6
GRCh38___AC127024.2,GRCh38___ENSG00000263603,Gene Expression,14
GRCh38___CRLF3,GRCh38___ENSG00000176390,Gene Expression,16112
GRCh38___AC127024.5,GRCh38___ENSG00000266490,Gene Expression,58
GRCh38___AC127024.6,GRCh38___ENSG00000276250,Gene Expression,38
GRCh38___ATAD5,GRCh38___ENSG00000176208,Gene Expression,6629
GRCh38___AC130324.2,GRCh38___ENSG00000265334,Gene Expression,68
GRCh38___AC130324.1,GRCh38___ENSG00000263531,Gene Expression,126
GRCh38___TEFM,GRCh38___ENSG00000172171,Gene Expression,4814
GRCh38___AC130324.3,GRCh38___ENSG00000275185,Gene Expression,55
GRCh38___ADAP2,GRCh38___ENSG00000184060,Gene Expression,8425
GRCh38___AC138207.1,GRCh38___ENSG00000230113,Gene Expression,14
GRCh38___RNF135,GRCh38___ENSG00000181481,Gene Expression,9043
GRCh38___AC138207.7,GRCh38___ENSG00000266340,Gene Expression,20
GRCh38___AC138207.2,GRCh38___ENSG00000264107,Gene Expression,24
GRCh38___NF1,GRCh38___ENSG00000196712,Gene Expression,8744
GRCh38___OMG,GRCh38___ENSG00000126861,Gene Expression,118
GRCh38___EVI2B,GRCh38___ENSG00000185862,Gene Expression,37725
GRCh38___AC134669.1,GRCh38___ENSG00000265118,Gene Expression,69
GRCh38___EVI2A,GRCh38___ENSG00000126860,Gene Expression,14313
GRCh38___RAB11FIP4,GRCh38___ENSG00000131242,Gene Expression,8871
GRCh38___AC003101.2,GRCh38___ENSG00000278546,Gene Expression,12
GRCh38___COPRS,GRCh38___ENSG00000172301,Gene Expression,1561
GRCh38___UTP6,GRCh38___ENSG00000108651,Gene Expression,7732
GRCh38___AC004253.1,GRCh38___ENSG00000263990,Gene Expression,360
GRCh38___SUZ12,GRCh38___ENSG00000178691,Gene Expression,14276
GRCh38___LRRC37B,GRCh38___ENSG00000185158,Gene Expression,1814
GRCh38___AC116407.2,GRCh38___ENSG00000277511,Gene Expression,2971
GRCh38___AC116407.1,GRCh38___ENSG00000214708,Gene Expression,38
GRCh38___RHOT1,GRCh38___ENSG00000126858,Gene Expression,6697
GRCh38___RHBDL3,GRCh38___ENSG00000141314,Gene Expression,82
GRCh38___C17orf75,GRCh38___ENSG00000108666,Gene Expression,3468
GRCh38___ZNF207,GRCh38___ENSG00000010244,Gene Expression,45057
GRCh38___AC005899.6,GRCh38___ENSG00000274341,Gene Expression,55
GRCh38___AC005899.7,GRCh38___ENSG00000278668,Gene Expression,15
GRCh38___AC005899.5,GRCh38___ENSG00000266385,Gene Expression,18
GRCh38___AC005899.8,GRCh38___ENSG00000279762,Gene Expression,123
GRCh38___AC005899.1,GRCh38___ENSG00000264083,Gene Expression,4
GRCh38___PSMD11,GRCh38___ENSG00000108671,Gene Expression,23936
GRCh38___CDK5R1,GRCh38___ENSG00000176749,Gene Expression,1125
GRCh38___MYO1D,GRCh38___ENSG00000176658,Gene Expression,162
GRCh38___AC079336.5,GRCh38___ENSG00000266718,Gene Expression,4
GRCh38___AC084809.1,GRCh38___ENSG00000226377,Gene Expression,4
GRCh38___TMEM98,GRCh38___ENSG00000006042,Gene Expression,9
GRCh38___CCL2,GRCh38___ENSG00000108691,Gene Expression,1406
GRCh38___CCL7,GRCh38___ENSG00000108688,Gene Expression,357
GRCh38___CCL8,GRCh38___ENSG00000108700,Gene Expression,27
GRCh38___CCL1,GRCh38___ENSG00000108702,Gene Expression,6
GRCh38___TMEM132E,GRCh38___ENSG00000181291,Gene Expression,18
GRCh38___CCT6B,GRCh38___ENSG00000132141,Gene Expression,937
GRCh38___ZNF830,GRCh38___ENSG00000198783,Gene Expression,11262
GRCh38___LIG3,GRCh38___ENSG00000005156,Gene Expression,4418
GRCh38___RFFL,GRCh38___ENSG00000092871,Gene Expression,8480
GRCh38___AC004223.4,GRCh38___ENSG00000273687,Gene Expression,45
GRCh38___AC004223.2,GRCh38___ENSG00000267457,Gene Expression,15
GRCh38___RAD51D,GRCh38___ENSG00000185379,Gene Expression,3400
GRCh38___FNDC8,GRCh38___ENSG00000073598,Gene Expression,3
GRCh38___NLE1,GRCh38___ENSG00000073536,Gene Expression,2709
GRCh38___UNC45B,GRCh38___ENSG00000141161,Gene Expression,246
GRCh38___SLC35G3,GRCh38___ENSG00000164729,Gene Expression,4
GRCh38___AC022916.1,GRCh38___ENSG00000266947,Gene Expression,1360
GRCh38___SLFN5,GRCh38___ENSG00000166750,Gene Expression,26619
GRCh38___AC022706.1,GRCh38___ENSG00000267364,Gene Expression,4886
GRCh38___SLFN11,GRCh38___ENSG00000172716,Gene Expression,6028
GRCh38___AC060766.6,GRCh38___ENSG00000267711,Gene Expression,9
GRCh38___AC060766.4,GRCh38___ENSG00000267547,Gene Expression,47
GRCh38___SLFN12,GRCh38___ENSG00000172123,Gene Expression,3544
GRCh38___SLFN13,GRCh38___ENSG00000154760,Gene Expression,4079
GRCh38___SLFN12L,GRCh38___ENSG00000205045,Gene Expression,18981
GRCh38___AC015911.5,GRCh38___ENSG00000267349,Gene Expression,50
GRCh38___SLFN14,GRCh38___ENSG00000236320,Gene Expression,30
GRCh38___AC015911.6,GRCh38___ENSG00000267359,Gene Expression,52
GRCh38___LINC02001,GRCh38___ENSG00000267321,Gene Expression,8102
GRCh38___PEX12,GRCh38___ENSG00000108733,Gene Expression,276
GRCh38___AP2B1,GRCh38___ENSG00000006125,Gene Expression,18739
GRCh38___TAF15,GRCh38___ENSG00000270647,Gene Expression,39350
GRCh38___RASL10B,GRCh38___ENSG00000270885,Gene Expression,4
GRCh38___MMP28,GRCh38___ENSG00000271447,Gene Expression,27
GRCh38___C17orf50,GRCh38___ENSG00000270806,Gene Expression,25
GRCh38___AC015849.2,GRCh38___ENSG00000270829,Gene Expression,8
GRCh38___AC015849.3,GRCh38___ENSG00000270871,Gene Expression,4
GRCh38___HEATR9,GRCh38___ENSG00000270379,Gene Expression,480
GRCh38___AC015849.1,GRCh38___ENSG00000270240,Gene Expression,75
GRCh38___CCL5,GRCh38___ENSG00000271503,Gene Expression,70159
GRCh38___AC015849.5,GRCh38___ENSG00000270977,Gene Expression,60
GRCh38___RDM1,GRCh38___ENSG00000278023,Gene Expression,1316
GRCh38___CCL16,GRCh38___ENSG00000275152,Gene Expression,4
GRCh38___AC244100.2,GRCh38___ENSG00000275431,Gene Expression,4
GRCh38___CCL15-CCL14,GRCh38___ENSG00000275688,Gene Expression,4
GRCh38___CCL15,GRCh38___ENSG00000275718,Gene Expression,3
GRCh38___CCL23,GRCh38___ENSG00000274736,Gene Expression,179
GRCh38___CCL18,GRCh38___ENSG00000275385,Gene Expression,35
GRCh38___AC243829.4,GRCh38___ENSG00000277089,Gene Expression,1409
GRCh38___CCL3,GRCh38___ENSG00000277632,Gene Expression,17249
GRCh38___CCL4,GRCh38___ENSG00000275302,Gene Expression,42046
GRCh38___AC243829.2,GRCh38___ENSG00000276241,Gene Expression,157
GRCh38___TBC1D3B,GRCh38___ENSG00000274808,Gene Expression,23
GRCh38___AC243829.1,GRCh38___ENSG00000274767,Gene Expression,1460
GRCh38___CCL3L1,GRCh38___ENSG00000276085,Gene Expression,12316
GRCh38___CCL4L2,GRCh38___ENSG00000276070,Gene Expression,10370
GRCh38___TBC1D3G,GRCh38___ENSG00000260287,Gene Expression,13
GRCh38___ZNHIT3,GRCh38___ENSG00000273611,Gene Expression,22102
GRCh38___MYO19,GRCh38___ENSG00000278259,Gene Expression,5645
GRCh38___PIGW,GRCh38___ENSG00000277161,Gene Expression,1687
GRCh38___GGNBP2,GRCh38___ENSG00000278311,Gene Expression,42036
GRCh38___DHRS11,GRCh38___ENSG00000278535,Gene Expression,395
GRCh38___MRM1,GRCh38___ENSG00000278619,Gene Expression,1195
GRCh38___AC243830.2,GRCh38___ENSG00000275720,Gene Expression,10
GRCh38___AC243830.1,GRCh38___ENSG00000275613,Gene Expression,15
GRCh38___LHX1,GRCh38___ENSG00000273706,Gene Expression,42
GRCh38___AATF,GRCh38___ENSG00000275700,Gene Expression,29155
GRCh38___AC244093.5,GRCh38___ENSG00000278638,Gene Expression,17
GRCh38___ACACA,GRCh38___ENSG00000278540,Gene Expression,4596
GRCh38___TADA2A,GRCh38___ENSG00000276234,Gene Expression,4185
GRCh38___AC243654.1,GRCh38___ENSG00000273965,Gene Expression,3
GRCh38___DUSP14,GRCh38___ENSG00000276023,Gene Expression,2505
GRCh38___SYNRG,GRCh38___ENSG00000275066,Gene Expression,20911
GRCh38___DDX52,GRCh38___ENSG00000278053,Gene Expression,13066
GRCh38___AC243585.2,GRCh38___ENSG00000277688,Gene Expression,6
GRCh38___AC243571.2,GRCh38___ENSG00000277501,Gene Expression,43
GRCh38___HNF1B,GRCh38___ENSG00000275410,Gene Expression,8
GRCh38___TBC1D3K,GRCh38___ENSG00000273513,Gene Expression,6
GRCh38___TBC1D3L,GRCh38___ENSG00000274512,Gene Expression,460
GRCh38___TBC1D3D,GRCh38___ENSG00000274419,Gene Expression,60
GRCh38___TBC1D3,GRCh38___ENSG00000274611,Gene Expression,4
GRCh38___MRPL45,GRCh38___ENSG00000278845,Gene Expression,8152
GRCh38___SOCS7,GRCh38___ENSG00000274211,Gene Expression,1265
GRCh38___ARHGAP23,GRCh38___ENSG00000275832,Gene Expression,108
GRCh38___SRCIN1,GRCh38___ENSG00000277363,Gene Expression,35
GRCh38___EPOP,GRCh38___ENSG00000273604,Gene Expression,245
GRCh38___AC006449.6,GRCh38___ENSG00000277969,Gene Expression,2836
GRCh38___AC006449.2,GRCh38___ENSG00000275532,Gene Expression,72
GRCh38___MLLT6,GRCh38___ENSG00000275023,Gene Expression,20034
GRCh38___AC006449.3,GRCh38___ENSG00000275665,Gene Expression,30
GRCh38___CISD3,GRCh38___ENSG00000277972,Gene Expression,18693
GRCh38___PCGF2,GRCh38___ENSG00000277258,Gene Expression,40
GRCh38___AC006449.5,GRCh38___ENSG00000277182,Gene Expression,8
GRCh38___PSMB3,GRCh38___ENSG00000277791,Gene Expression,56398
GRCh38___PIP4K2B,GRCh38___ENSG00000276293,Gene Expression,4404
GRCh38___CWC25,GRCh38___ENSG00000273559,Gene Expression,31643
GRCh38___RPL23,GRCh38___ENSG00000125691,Gene Expression,77222
GRCh38___LASP1,GRCh38___ENSG00000002834,Gene Expression,25106
GRCh38___AC006441.1,GRCh38___ENSG00000263466,Gene Expression,7
GRCh38___AC006441.3,GRCh38___ENSG00000265784,Gene Expression,23
GRCh38___LINC00672,GRCh38___ENSG00000263874,Gene Expression,968
GRCh38___FBXO47,GRCh38___ENSG00000204952,Gene Expression,5
GRCh38___PLXDC1,GRCh38___ENSG00000161381,Gene Expression,959
GRCh38___ARL5C,GRCh38___ENSG00000141748,Gene Expression,103
GRCh38___AC004408.1,GRCh38___ENSG00000266101,Gene Expression,3
GRCh38___CACNB1,GRCh38___ENSG00000067191,Gene Expression,1626
GRCh38___RPL19,GRCh38___ENSG00000108298,Gene Expression,86154
GRCh38___STAC2,GRCh38___ENSG00000141750,Gene Expression,6
GRCh38___FBXL20,GRCh38___ENSG00000108306,Gene Expression,9100
GRCh38___AC005288.1,GRCh38___ENSG00000266469,Gene Expression,243
GRCh38___MED1,GRCh38___ENSG00000125686,Gene Expression,11262
GRCh38___CDK12,GRCh38___ENSG00000167258,Gene Expression,27816
GRCh38___AC009283.1,GRCh38___ENSG00000273576,Gene Expression,186
GRCh38___AC087491.1,GRCh38___ENSG00000214546,Gene Expression,6
GRCh38___PPP1R1B,GRCh38___ENSG00000131771,Gene Expression,13
GRCh38___STARD3,GRCh38___ENSG00000131748,Gene Expression,21996
GRCh38___TCAP,GRCh38___ENSG00000173991,Gene Expression,201
GRCh38___PNMT,GRCh38___ENSG00000141744,Gene Expression,79
GRCh38___PGAP3,GRCh38___ENSG00000161395,Gene Expression,6267
GRCh38___ERBB2,GRCh38___ENSG00000141736,Gene Expression,566
GRCh38___MIEN1,GRCh38___ENSG00000141741,Gene Expression,37432
GRCh38___GRB7,GRCh38___ENSG00000141738,Gene Expression,14
GRCh38___IKZF3,GRCh38___ENSG00000161405,Gene Expression,26643
GRCh38___ZPBP2,GRCh38___ENSG00000186075,Gene Expression,9
GRCh38___GSDMB,GRCh38___ENSG00000073605,Gene Expression,2279
GRCh38___ORMDL3,GRCh38___ENSG00000172057,Gene Expression,18594
GRCh38___AC090844.2,GRCh38___ENSG00000264968,Gene Expression,107
GRCh38___LRRC3C,GRCh38___ENSG00000204913,Gene Expression,4
GRCh38___GSDMA,GRCh38___ENSG00000167914,Gene Expression,171
GRCh38___PSMD3,GRCh38___ENSG00000108344,Gene Expression,20728
GRCh38___CSF3,GRCh38___ENSG00000108342,Gene Expression,100
GRCh38___MED24,GRCh38___ENSG00000008838,Gene Expression,7188
GRCh38___THRA,GRCh38___ENSG00000126351,Gene Expression,2597
GRCh38___NR1D1,GRCh38___ENSG00000126368,Gene Expression,2044
GRCh38___MSL1,GRCh38___ENSG00000188895,Gene Expression,7698
GRCh38___CASC3,GRCh38___ENSG00000108349,Gene Expression,15749
GRCh38___RAPGEFL1,GRCh38___ENSG00000108352,Gene Expression,780
GRCh38___WIPF2,GRCh38___ENSG00000171475,Gene Expression,11124
GRCh38___CDC6,GRCh38___ENSG00000094804,Gene Expression,2811
GRCh38___RARA,GRCh38___ENSG00000131759,Gene Expression,14877
GRCh38___RARA-AS1,GRCh38___ENSG00000265666,Gene Expression,1270
GRCh38___AC080112.1,GRCh38___ENSG00000266208,Gene Expression,119
GRCh38___TOP2A,GRCh38___ENSG00000131747,Gene Expression,6453
GRCh38___IGFBP4,GRCh38___ENSG00000141753,Gene Expression,1932
GRCh38___TNS4,GRCh38___ENSG00000131746,Gene Expression,371
GRCh38___AC004585.1,GRCh38___ENSG00000266088,Gene Expression,2738
GRCh38___CCR7,GRCh38___ENSG00000126353,Gene Expression,4875
GRCh38___SMARCE1,GRCh38___ENSG00000073584,Gene Expression,26412
GRCh38___AC073508.2,GRCh38___ENSG00000264058,Gene Expression,7
GRCh38___AC073508.3,GRCh38___ENSG00000278834,Gene Expression,244
GRCh38___KRT10,GRCh38___ENSG00000186395,Gene Expression,26478
GRCh38___TMEM99,GRCh38___ENSG00000167920,Gene Expression,1486
GRCh38___KRT23,GRCh38___ENSG00000108244,Gene Expression,35
GRCh38___KRTAP29-1,GRCh38___ENSG00000212658,Gene Expression,3
GRCh38___KRTAP16-1,GRCh38___ENSG00000212657,Gene Expression,250
GRCh38___KRT36,GRCh38___ENSG00000126337,Gene Expression,22
GRCh38___KRT17,GRCh38___ENSG00000128422,Gene Expression,67
GRCh38___EIF1,GRCh38___ENSG00000173812,Gene Expression,87224
