,feature_types
DPYD,Gene Expression
DPYD-AS1,Gene Expression
DPYD-AS2,Gene Expression
MIR137HG,Gene Expression
SNX7,Gene Expression
PLPPR4,Gene Expression
FRRS1,Gene Expression
AGL,Gene Expression
AC118553.1,Gene Expression
SLC35A3,Gene Expression
MFSD14A,Gene Expression
SASS6,Gene Expression
TRMT13,Gene Expression
LRRC39,Gene Expression
DBT,Gene Expression
RTCA-AS1,Gene Expression
RTCA,Gene Expression
CDC14A,Gene Expression
AL589990.1,Gene Expression
GPR88,Gene Expression
LINC01349,Gene Expression
VCAM1,Gene Expression
EXTL2,Gene Expression
AC104506.1,Gene Expression
SLC30A7,Gene Expression
DPH5,Gene Expression
AC093157.2,Gene Expression
AC093157.1,Gene Expression
AL109741.1,Gene Expression
S1PR1,Gene Expression
LINC01307,Gene Expression
LINC01709,Gene Expression
OLFM3,Gene Expression
RNPC3,Gene Expression
AMY2B,Gene Expression
AMY2A,Gene Expression
AMY1B,Gene Expression
AMY1C,Gene Expression
AL355306.2,Gene Expression
PRMT6,Gene Expression
NTNG1,Gene Expression
VAV3,Gene Expression
AL359258.2,Gene Expression
NBPF4,Gene Expression
AL359258.1,Gene Expression
NBPF6,Gene Expression
FAM102B,Gene Expression
HENMT1,Gene Expression
PRPF38B,Gene Expression
FNDC7,Gene Expression
STXBP3,Gene Expression
AKNAD1,Gene Expression
SPATA42,Gene Expression
GPSM2,Gene Expression
CLCC1,Gene Expression
WDR47,Gene Expression
TAF13,Gene Expression
TMEM167B,Gene Expression
AL356488.2,Gene Expression
C1orf194,Gene Expression
CELSR2,Gene Expression
PSRC1,Gene Expression
MYBPHL,Gene Expression
SORT1,Gene Expression
PSMA5,Gene Expression
SYPL2,Gene Expression
ATXN7L2,Gene Expression
CYB561D1,Gene Expression
AMIGO1,Gene Expression
GPR61,Gene Expression
AL355310.3,Gene Expression
GNAI3,Gene Expression
GNAT2,Gene Expression
AMPD2,Gene Expression
AL355310.2,Gene Expression
GSTM4,Gene Expression
GSTM2,Gene Expression
GSTM1,Gene Expression
AC000032.1,Gene Expression
GSTM5,Gene Expression
AL158847.1,Gene Expression
GSTM3,Gene Expression
EPS8L3,Gene Expression
AL450468.1,Gene Expression
AL450468.2,Gene Expression
CSF1,Gene Expression
AHCYL1,Gene Expression
STRIP1,Gene Expression
AL160006.1,Gene Expression
ALX3,Gene Expression
LINC01397,Gene Expression
UBL4B,Gene Expression
SLC6A17,Gene Expression
LINC02586,Gene Expression
KCNC4,Gene Expression
RBM15-AS1,Gene Expression
RBM15,Gene Expression
SLC16A4,Gene Expression
AL355488.1,Gene Expression
LAMTOR5,Gene Expression
PROK1,Gene Expression
KCNA2,Gene Expression
AL365361.1,Gene Expression
KCNA3,Gene Expression
CD53,Gene Expression
AL360270.1,Gene Expression
LRIF1,Gene Expression
AL360270.3,Gene Expression
DRAM2,Gene Expression
CEPT1,Gene Expression
AL355816.1,Gene Expression
AL355816.2,Gene Expression
DENND2D,Gene Expression
CHI3L2,Gene Expression
CHIA,Gene Expression
PIFO,Gene Expression
OVGP1,Gene Expression
WDR77,Gene Expression
ATP5PB,Gene Expression
C1orf162,Gene Expression
TMIGD3,Gene Expression
ADORA3,Gene Expression
RAP1A,Gene Expression
LINC01160,Gene Expression
INKA2,Gene Expression
DDX20,Gene Expression
KCND3,Gene Expression
LINC01750,Gene Expression
CTTNBP2NL,Gene Expression
WNT2B,Gene Expression
AL354760.1,Gene Expression
ST7L,Gene Expression
CAPZA1,Gene Expression
MOV10,Gene Expression
AL603832.1,Gene Expression
RHOC,Gene Expression
PPM1J,Gene Expression
AL603832.2,Gene Expression
LINC01356,Gene Expression
SLC16A1-AS1,Gene Expression
LRIG2,Gene Expression
MAGI3,Gene Expression
PHTF1,Gene Expression
RSBN1,Gene Expression
AL137856.1,Gene Expression
PTPN22,Gene Expression
AP4B1-AS1,Gene Expression
BCL2L15,Gene Expression
AP4B1,Gene Expression
DCLRE1B,Gene Expression
HIPK1-AS1,Gene Expression
HIPK1,Gene Expression
OLFML3,Gene Expression
SYT6,Gene Expression
AL121999.1,Gene Expression
TRIM33,Gene Expression
BCAS2,Gene Expression
DENND2C,Gene Expression
AMPD1,Gene Expression
NRAS,Gene Expression
CSDE1,Gene Expression
SIKE1,Gene Expression
SYCP1,Gene Expression
TSPAN2,Gene Expression
LINC01765,Gene Expression
VANGL1,Gene Expression
CASQ2,Gene Expression
NHLH2,Gene Expression
LINC01649,Gene Expression
SLC22A15,Gene Expression
AL365318.1,Gene Expression
MAB21L3,Gene Expression
LINC01779,Gene Expression
ATP1A1,Gene Expression
LINC01762,Gene Expression
AL136376.1,Gene Expression
CD58,Gene Expression
IGSF3,Gene Expression
CD2,Gene Expression
AL157904.1,Gene Expression
PTGFRN,Gene Expression
CD101,Gene Expression
AL445231.1,Gene Expression
TTF2,Gene Expression
TRIM45,Gene Expression
AL358072.1,Gene Expression
MAN1A2,Gene Expression
AL157902.1,Gene Expression
TENT5C,Gene Expression
GDAP2,Gene Expression
WDR3,Gene Expression
SPAG17,Gene Expression
TBX15,Gene Expression
WARS2,Gene Expression
WARS2-IT1,Gene Expression
AL359915.1,Gene Expression
LINC01780,Gene Expression
ZNF697,Gene Expression
PHGDH,Gene Expression
REG4,Gene Expression
ADAM30,Gene Expression
NOTCH2,Gene Expression
AC245008.1,Gene Expression
SEC22B,Gene Expression
NBPF26,Gene Expression
PPIAL4A,Gene Expression
LINC00623,Gene Expression
FCGR1B,Gene Expression
AC244453.3,Gene Expression
AC244453.2,Gene Expression
AC244453.1,Gene Expression
FAM72B,Gene Expression
SRGAP2C,Gene Expression
SRGAP2-AS1,Gene Expression
AL592494.1,Gene Expression
LINC01691,Gene Expression
AC239800.2,Gene Expression
AC246680.1,Gene Expression
FAM72C,Gene Expression
IGKV1OR1-1,Gene Expression
PPIAL4E,Gene Expression
AC246785.3,Gene Expression
NBPF15,Gene Expression
PPIAL4F,Gene Expression
LINC01632,Gene Expression
FP700111.1,Gene Expression
SRGAP2B,Gene Expression
FAM72D,Gene Expression
PPIAL4D,Gene Expression
AC245014.3,Gene Expression
AC245014.1,Gene Expression
NBPF20,Gene Expression
GPR89A,Gene Expression
PDZK1,Gene Expression
CD160,Gene Expression
RNF115,Gene Expression
POLR3C,Gene Expression
NUDT17,Gene Expression
PIAS3,Gene Expression
ANKRD35,Gene Expression
ITGA10,Gene Expression
AC243547.1,Gene Expression
PEX11B,Gene Expression
RBM8A,Gene Expression
LIX1L-AS1,Gene Expression
LIX1L,Gene Expression
ANKRD34A,Gene Expression
AC243547.2,Gene Expression
POLR3GL,Gene Expression
TXNIP,Gene Expression
LINC01719,Gene Expression
NBPF10,Gene Expression
AC239799.1,Gene Expression
NBPF12,Gene Expression
PRKAB2,Gene Expression
AC242426.2,Gene Expression
FMO5,Gene Expression
CHD1L,Gene Expression
LINC00624,Gene Expression
BCL9,Gene Expression
ACP6,Gene Expression
GPR89B,Gene Expression
AC239803.1,Gene Expression
NBPF11,Gene Expression
AC239809.3,Gene Expression
LINC01731,Gene Expression
AC245100.1,Gene Expression
PPIAL4G,Gene Expression
NBPF14,Gene Expression
NUDT4B,Gene Expression
PDE4DIP,Gene Expression
AC239804.1,Gene Expression
NBPF9,Gene Expression
AC245297.3,Gene Expression
AC245297.2,Gene Expression
NBPF19,Gene Expression
PPIAL4C,Gene Expression
FCGR1A,Gene Expression
AC243772.2,Gene Expression
BOLA1,Gene Expression
SV2A,Gene Expression
SF3B4,Gene Expression
MTMR11,Gene Expression
OTUD7B,Gene Expression
VPS45,Gene Expression
PLEKHO1,Gene Expression
ANP32E,Gene Expression
AC242988.1,Gene Expression
CA14,Gene Expression
APH1A,Gene Expression
C1orf54,Gene Expression
CIART,Gene Expression
MRPS21,Gene Expression
PRPF3,Gene Expression
RPRD2,Gene Expression
TARS2,Gene Expression
ECM1,Gene Expression
FALEC,Gene Expression
ADAMTSL4,Gene Expression
MCL1,Gene Expression
ENSA,Gene Expression
GOLPH3L,Gene Expression
HORMAD1,Gene Expression
CTSS,Gene Expression
CTSK,Gene Expression
ARNT,Gene Expression
CTXND2,Gene Expression
SETDB1,Gene Expression
CERS2,Gene Expression
AL590133.2,Gene Expression
AL590133.1,Gene Expression
ANXA9,Gene Expression
MINDY1,Gene Expression
PRUNE1,Gene Expression
BNIPL,Gene Expression
C1orf56,Gene Expression
CDC42SE1,Gene Expression
MLLT11,Gene Expression
GABPB2,Gene Expression
SEMA6C,Gene Expression
TNFAIP8L2,Gene Expression
SCNM1,Gene Expression
LYSMD1,Gene Expression
TMOD4,Gene Expression
VPS72,Gene Expression
PIP5K1A,Gene Expression
PSMD4,Gene Expression
ZNF687,Gene Expression
PI4KB,Gene Expression
AL391069.2,Gene Expression
RFX5,Gene Expression
AL391069.1,Gene Expression
SELENBP1,Gene Expression
PSMB4,Gene Expression
POGZ,Gene Expression
CGN,Gene Expression
TUFT1,Gene Expression
SNX27,Gene Expression
AL391335.1,Gene Expression
AL589765.1,Gene Expression
CELF3,Gene Expression
RIIAD1,Gene Expression
AL589765.7,Gene Expression
MRPL9,Gene Expression
OAZ3,Gene Expression
AL589765.4,Gene Expression
AL589765.5,Gene Expression
TDRKH,Gene Expression
TDRKH-AS1,Gene Expression
AL589765.6,Gene Expression
LINGO4,Gene Expression
RORC,Gene Expression
C2CD4D,Gene Expression
THEM5,Gene Expression
THEM4,Gene Expression
S100A10,Gene Expression
AL450992.1,Gene Expression
S100A11,Gene Expression
TCHH,Gene Expression
FLG-AS1,Gene Expression
AL589986.2,Gene Expression
HRNR,Gene Expression
FLG,Gene Expression
FLG2,Gene Expression
LCE5A,Gene Expression
LCE3A,Gene Expression
LCE1E,Gene Expression
IVL,Gene Expression
LINC01527,Gene Expression
SPRR2A,Gene Expression
PRR9,Gene Expression
PGLYRP4,Gene Expression
S100A9,Gene Expression
S100A12,Gene Expression
S100A8,Gene Expression
S100A7,Gene Expression
BX470102.1,Gene Expression
S100A6,Gene Expression
S100A5,Gene Expression
S100A4,Gene Expression
S100A3,Gene Expression
S100A2,Gene Expression
S100A16,Gene Expression
S100A14,Gene Expression
S100A13,Gene Expression
S100A1,Gene Expression
AL162258.2,Gene Expression
CHTOP,Gene Expression
SNAPIN,Gene Expression
ILF2,Gene Expression
NPR1,Gene Expression
INTS3,Gene Expression
AL513523.3,Gene Expression
SLC27A3,Gene Expression
GATAD2B,Gene Expression
AL358472.5,Gene Expression
DENND4B,Gene Expression
CRTC2,Gene Expression
SLC39A1,Gene Expression
AL358472.4,Gene Expression
AL358472.3,Gene Expression
CREB3L4,Gene Expression
JTB,Gene Expression
AL358472.2,Gene Expression
RAB13,Gene Expression
RPS27,Gene Expression
NUP210L,Gene Expression
TPM3,Gene Expression
C1orf189,Gene Expression
C1orf43,Gene Expression
UBAP2L,Gene Expression
HAX1,Gene Expression
AQP10,Gene Expression
ATP8B2,Gene Expression
IL6R-AS1,Gene Expression
IL6R,Gene Expression
SHE,Gene Expression
AL162591.2,Gene Expression
TDRD10,Gene Expression
UBE2Q1,Gene Expression
UBE2Q1-AS1,Gene Expression
CHRNB2,Gene Expression
AL592078.1,Gene Expression
ADAR,Gene Expression
KCNN3,Gene Expression
PMVK,Gene Expression
AL451085.1,Gene Expression
PBXIP1,Gene Expression
PYGO2,Gene Expression
AL451085.2,Gene Expression
SHC1,Gene Expression
CKS1B,Gene Expression
FLAD1,Gene Expression
LENEP,Gene Expression
ZBTB7B,Gene Expression
DCST2,Gene Expression
DCST1,Gene Expression
DCST1-AS1,Gene Expression
ADAM15,Gene Expression
EFNA4,Gene Expression
EFNA3,Gene Expression
EFNA1,Gene Expression
SLC50A1,Gene Expression
DPM3,Gene Expression
KRTCAP2,Gene Expression
TRIM46,Gene Expression
MUC1,Gene Expression
THBS3,Gene Expression
MTX1,Gene Expression
AC234582.1,Gene Expression
GBA,Gene Expression
FAM189B,Gene Expression
SCAMP3,Gene Expression
CLK2,Gene Expression
HCN3,Gene Expression
PKLR,Gene Expression
FDPS,Gene Expression
RUSC1-AS1,Gene Expression
RUSC1,Gene Expression
ASH1L,Gene Expression
ASH1L-AS1,Gene Expression
AL353807.2,Gene Expression
MSTO1,Gene Expression
YY1AP1,Gene Expression
DAP3,Gene Expression
GON4L,Gene Expression
SYT11,Gene Expression
RIT1,Gene Expression
KHDC4,Gene Expression
RXFP4,Gene Expression
ARHGEF2,Gene Expression
SSR2,Gene Expression
UBQLN4,Gene Expression
LAMTOR2,Gene Expression
RAB25,Gene Expression
MEX3A,Gene Expression
LMNA,Gene Expression
SEMA4A,Gene Expression
SLC25A44,Gene Expression
PMF1,Gene Expression
BGLAP,Gene Expression
PAQR6,Gene Expression
SMG5,Gene Expression
TMEM79,Gene Expression
GLMP,Gene Expression
VHLL,Gene Expression
CCT3,Gene Expression
TSACC,Gene Expression
RHBG,Gene Expression
AL139130.1,Gene Expression
MEF2D,Gene Expression
AL365181.1,Gene Expression
IQGAP3,Gene Expression
TTC24,Gene Expression
NAXE,Gene Expression
GPATCH4,Gene Expression
AL365181.4,Gene Expression
HAPLN2,Gene Expression
AL365181.2,Gene Expression
BCAN,Gene Expression
AL365181.3,Gene Expression
AL590666.2,Gene Expression
NES,Gene Expression
AL590666.3,Gene Expression
CRABP2,Gene Expression
AL590666.1,Gene Expression
ISG20L2,Gene Expression
RRNAD1,Gene Expression
MRPL24,Gene Expression
HDGF,Gene Expression
PRCC,Gene Expression
SH2D2A,Gene Expression
NTRK1,Gene Expression
INSRR,Gene Expression
PEAR1,Gene Expression
LRRC71,Gene Expression
ARHGEF11,Gene Expression
ETV3L,Gene Expression
ETV3,Gene Expression
FCRL5,Gene Expression
FCRL4,Gene Expression
FCRL3,Gene Expression
AL356276.1,Gene Expression
FCRL2,Gene Expression
FCRL1,Gene Expression
CD5L,Gene Expression
KIRREL1,Gene Expression
LINC01704,Gene Expression
CD1D,Gene Expression
AL138899.1,Gene Expression
CD1A,Gene Expression
CD1C,Gene Expression
CD1B,Gene Expression
CD1E,Gene Expression
OR10K1,Gene Expression
OR6Y1,Gene Expression
OR10Z1,Gene Expression
SPTA1,Gene Expression
OR6K3,Gene Expression
OR6N1,Gene Expression
MNDA,Gene Expression
PYHIN1,Gene Expression
IFI16,Gene Expression
AIM2,Gene Expression
CADM3,Gene Expression
CADM3-AS1,Gene Expression
ACKR1,Gene Expression
FCER1A,Gene Expression
OR10J1,Gene Expression
DUSP23,Gene Expression
FCRL6,Gene Expression
SLAMF8,Gene Expression
AL590560.2,Gene Expression
SNHG28,Gene Expression
VSIG8,Gene Expression
CFAP45,Gene Expression
TAGLN2,Gene Expression
IGSF9,Gene Expression
SLAMF9,Gene Expression
LINC01133,Gene Expression
KCNJ10,Gene Expression
PIGM,Gene Expression
AL121987.1,Gene Expression
KCNJ9,Gene Expression
IGSF8,Gene Expression
ATP1A2,Gene Expression
ATP1A4,Gene Expression
CASQ1,Gene Expression
AL121987.2,Gene Expression
PEA15,Gene Expression
DCAF8,Gene Expression
AL139011.1,Gene Expression
PEX19,Gene Expression
COPA,Gene Expression
NCSTN,Gene Expression
NHLH1,Gene Expression
VANGL2,Gene Expression
SLAMF6,Gene Expression
AL138930.1,Gene Expression
CD84,Gene Expression
SLAMF1,Gene Expression
AL121985.1,Gene Expression
CD48,Gene Expression
SLAMF7,Gene Expression
LY9,Gene Expression
CD244,Gene Expression
ITLN1,Gene Expression
AL354714.3,Gene Expression
AL354714.1,Gene Expression
ITLN2,Gene Expression
F11R,Gene Expression
TSTD1,Gene Expression
USF1,Gene Expression
ARHGAP30,Gene Expression
NECTIN4,Gene Expression
KLHDC9,Gene Expression
PFDN2,Gene Expression
NIT1,Gene Expression
DEDD,Gene Expression
UFC1,Gene Expression
AL590714.1,Gene Expression
USP21,Gene Expression
PPOX,Gene Expression
B4GALT3,Gene Expression
ADAMTS4,Gene Expression
NDUFS2,Gene Expression
FCER1G,Gene Expression
APOA2,Gene Expression
TOMM40L,Gene Expression
NR1I3,Gene Expression
PCP4L1,Gene Expression
MPZ,Gene Expression
SDHC,Gene Expression
CFAP126,Gene Expression
AL592295.4,Gene Expression
AL592295.3,Gene Expression
AL831711.1,Gene Expression
FCGR2A,Gene Expression
HSPA6,Gene Expression
FCGR3A,Gene Expression
AL590385.1,Gene Expression
FCGR3B,Gene Expression
FCGR2B,Gene Expression
AL451067.1,Gene Expression
FCRLA,Gene Expression
FCRLB,Gene Expression
DUSP12,Gene Expression
AL359541.1,Gene Expression
ATF6,Gene Expression
OLFML2B,Gene Expression
NOS1AP,Gene Expression
C1orf226,Gene Expression
SPATA46,Gene Expression
SH2D1B,Gene Expression
UHMK1,Gene Expression
AL596325.1,Gene Expression
UAP1,Gene Expression
DDR2,Gene Expression
HSD17B7,Gene Expression
RGS4,Gene Expression
RGS5,Gene Expression
AL592435.1,Gene Expression
NUF2,Gene Expression
PBX1,Gene Expression
RXRG,Gene Expression
LRRC52,Gene Expression
AL356441.1,Gene Expression
MGST3,Gene Expression
ALDH9A1,Gene Expression
TMCO1,Gene Expression
UCK2,Gene Expression
AL358115.1,Gene Expression
FAM78B,Gene Expression
LINC01675,Gene Expression
POGK,Gene Expression
TADA1,Gene Expression
ILDR2,Gene Expression
MAEL,Gene Expression
GPA33,Gene Expression
LINC01363,Gene Expression
AL451050.2,Gene Expression
POU2F1,Gene Expression
CD247,Gene Expression
AL359962.2,Gene Expression
CREG1,Gene Expression
AL031733.2,Gene Expression
RCSD1,Gene Expression
MPZL1,Gene Expression
ADCY10,Gene Expression
Z99943.1,Gene Expression
MPC2,Gene Expression
DCAF6,Gene Expression
GPR161,Gene Expression
TIPRL,Gene Expression
SFT2D2,Gene Expression
TBX19,Gene Expression
AL023755.1,Gene Expression
XCL2,Gene Expression
XCL1,Gene Expression
LINC00970,Gene Expression
ATP1B1,Gene Expression
NME7,Gene Expression
Z99758.1,Gene Expression
BLZF1,Gene Expression
CCDC181,Gene Expression
SLC19A2,Gene Expression
F5,Gene Expression
SELP,Gene Expression
C1orf112,Gene Expression
SELL,Gene Expression
SELE,Gene Expression
METTL18,Gene Expression
SCYL3,Gene Expression
KIFAP3,Gene Expression
GORAB,Gene Expression
PRRX1,Gene Expression
MROH9,Gene Expression
FMO3,Gene Expression
FMO2,Gene Expression
AL021026.1,Gene Expression
FMO1,Gene Expression
FMO4,Gene Expression
PRRC2C,Gene Expression
MYOCOS,Gene Expression
MYOC,Gene Expression
VAMP4,Gene Expression
DNM3,Gene Expression
DNM3OS,Gene Expression
PIGC,Gene Expression
C1orf105,Gene Expression
SUCO,Gene Expression
FASLG,Gene Expression
AL031599.1,Gene Expression
Z97198.1,Gene Expression
TNFSF18,Gene Expression
AL022310.1,Gene Expression
TNFSF4,Gene Expression
PRDX6,Gene Expression
SLC9C2,Gene Expression
ANKRD45,Gene Expression
KLHL20,Gene Expression
CENPL,Gene Expression
DARS2,Gene Expression
GAS5-AS1,Gene Expression
ZBTB37,Gene Expression
SERPINC1,Gene Expression
RC3H1,Gene Expression
RABGAP1L,Gene Expression
GPR52,Gene Expression
CACYBP,Gene Expression
MRPS14,Gene Expression
TNN,Gene Expression
KIAA0040,Gene Expression
Z94057.1,Gene Expression
TNR,Gene Expression
COP1,Gene Expression
AL590723.1,Gene Expression
PAPPA2,Gene Expression
SEC16B,Gene Expression
RASAL2-AS1,Gene Expression
RASAL2,Gene Expression
CLEC20A,Gene Expression
TEX35,Gene Expression
C1orf220,Gene Expression
AL137796.1,Gene Expression
RALGPS2,Gene Expression
ANGPTL1,Gene Expression
FAM20B,Gene Expression
TOR3A,Gene Expression
ABL2,Gene Expression
SOAT1,Gene Expression
AXDND1,Gene Expression
TDRD5,Gene Expression
FAM163A,Gene Expression
TOR1AIP2,Gene Expression
AL353708.3,Gene Expression
TOR1AIP1,Gene Expression
AL353708.1,Gene Expression
CEP350,Gene Expression
QSOX1,Gene Expression
LHX4,Gene Expression
ACBD6,Gene Expression
XPR1,Gene Expression
KIAA1614,Gene Expression
AL162431.1,Gene Expression
KIAA1614-AS1,Gene Expression
STX6,Gene Expression
MR1,Gene Expression
IER5,Gene Expression
LINC01732,Gene Expression
LINC01699,Gene Expression
CACNA1E,Gene Expression
ZNF648,Gene Expression
AL355482.1,Gene Expression
AL355482.2,Gene Expression
LINC01344,Gene Expression
GLUL,Gene Expression
TEDDM1,Gene Expression
LINC00272,Gene Expression
RGSL1,Gene Expression
RNASEL,Gene Expression
RGS16,Gene Expression
LINC01686,Gene Expression
NPL,Gene Expression
DHX9,Gene Expression
SHCBP1L,Gene Expression
LAMC1,Gene Expression
LAMC2,Gene Expression
NMNAT2,Gene Expression
SMG7,Gene Expression
NCF2,Gene Expression
ARPC5,Gene Expression
RGL1,Gene Expression
APOBEC4,Gene Expression
COLGALT2,Gene Expression
TSEN15,Gene Expression
AL445228.2,Gene Expression
C1orf21,Gene Expression
EDEM3,Gene Expression
RNF2,Gene Expression
TRMT1L,Gene Expression
SWT1,Gene Expression
IVNS1ABP,Gene Expression
LINC01350,Gene Expression
AL133383.1,Gene Expression
HMCN1,Gene Expression
PRG4,Gene Expression
TPR,Gene Expression
ODR4,Gene Expression
PDC,Gene Expression
PTGS2,Gene Expression
PACERR,Gene Expression
PLA2G4A,Gene Expression
AL713866.1,Gene Expression
RGS18,Gene Expression
AL390957.1,Gene Expression
AL136987.1,Gene Expression
RGS1,Gene Expression
RGS13,Gene Expression
RGS2,Gene Expression
UCHL5,Gene Expression
GLRX2,Gene Expression
CDC73,Gene Expression
B3GALT2,Gene Expression
LINC01031,Gene Expression
AL357793.1,Gene Expression
AL357793.2,Gene Expression
LINC01724,Gene Expression
KCNT2,Gene Expression
CFH,Gene Expression
CFHR3,Gene Expression
CFHR1,Gene Expression
ASPM,Gene Expression
ZBTB41,Gene Expression
CRB1,Gene Expression
DENND1B,Gene Expression
C1orf53,Gene Expression
LHX9,Gene Expression
NEK7,Gene Expression
ATP6V1G3,Gene Expression
AL157402.1,Gene Expression
PTPRC,Gene Expression
AL157402.2,Gene Expression
MIR181A1HG,Gene Expression
AC096631.1,Gene Expression
LINC01222,Gene Expression
NR5A2,Gene Expression
LINC00862,Gene Expression
AC104461.1,Gene Expression
ZNF281,Gene Expression
AL359834.1,Gene Expression
KIF14,Gene Expression
DDX59,Gene Expression
CAMSAP2,Gene Expression
GPR25,Gene Expression
INAVA,Gene Expression
KIF21B,Gene Expression
AL358473.1,Gene Expression
AL358473.2,Gene Expression
ASCL5,Gene Expression
TMEM9,Gene Expression
IGFN1,Gene Expression
PKP1,Gene Expression
TNNT2,Gene Expression
LAD1,Gene Expression
TNNI1,Gene Expression
PHLDA3,Gene Expression
CSRP1,Gene Expression
AC096677.1,Gene Expression
