,feature_types
CLDN19,Gene Expression
P3H1,Gene Expression
C1orf50,Gene Expression
AC098484.1,Gene Expression
TMEM269,Gene Expression
SVBP,Gene Expression
ERMAP,Gene Expression
AL512353.1,Gene Expression
ZNF691,Gene Expression
SLC2A1,Gene Expression
SLC2A1-AS1,Gene Expression
AC099795.1,Gene Expression
FAM183A,Gene Expression
EBNA1BP2,Gene Expression
CFAP57,Gene Expression
TMEM125,Gene Expression
C1orf210,Gene Expression
TIE1,Gene Expression
MPL,Gene Expression
AL139289.1,Gene Expression
CDC20,Gene Expression
ELOVL1,Gene Expression
MED8,Gene Expression
SZT2,Gene Expression
SZT2-AS1,Gene Expression
HYI,Gene Expression
PTPRF,Gene Expression
KDM4A,Gene Expression
KDM4A-AS1,Gene Expression
ST3GAL3,Gene Expression
ARTN,Gene Expression
AL357079.1,Gene Expression
IPO13,Gene Expression
DPH2,Gene Expression
ATP6V0B,Gene Expression
B4GALT2,Gene Expression
CCDC24,Gene Expression
SLC6A9,Gene Expression
AL139220.2,Gene Expression
DMAP1,Gene Expression
ERI3,Gene Expression
RNF220,Gene Expression
TMEM53,Gene Expression
ARMH1,Gene Expression
KIF2C,Gene Expression
AL592166.1,Gene Expression
RPS8,Gene Expression
BEST4,Gene Expression
PLK3,Gene Expression
TCTEX1D4,Gene Expression
BTBD19,Gene Expression
PTCH2,Gene Expression
EIF2B3,Gene Expression
HECTD3,Gene Expression
UROD,Gene Expression
ZSWIM5,Gene Expression
LINC01144,Gene Expression
HPDL,Gene Expression
MUTYH,Gene Expression
TOE1,Gene Expression
TESK2,Gene Expression
CCDC163,Gene Expression
MMACHC,Gene Expression
PRDX1,Gene Expression
AKR1A1,Gene Expression
NASP,Gene Expression
CCDC17,Gene Expression
GPBP1L1,Gene Expression
TMEM69,Gene Expression
IPP,Gene Expression
MAST2,Gene Expression
PIK3R3,Gene Expression
AL358075.1,Gene Expression
AL358075.2,Gene Expression
TSPAN1,Gene Expression
POMGNT1,Gene Expression
LURAP1,Gene Expression
RAD54L,Gene Expression
LRRC41,Gene Expression
UQCRH,Gene Expression
NSUN4,Gene Expression
FAAH,Gene Expression
DMBX1,Gene Expression
MKNK1-AS1,Gene Expression
KNCN,Gene Expression
MKNK1,Gene Expression
MOB3C,Gene Expression
ATPAF1,Gene Expression
TEX38,Gene Expression
EFCAB14-AS1,Gene Expression
EFCAB14,Gene Expression
CYP4B1,Gene Expression
CYP4X1,Gene Expression
CYP4A22-AS1,Gene Expression
LINC00853,Gene Expression
PDZK1IP1,Gene Expression
TAL1,Gene Expression
AL135960.1,Gene Expression
STIL,Gene Expression
CMPK1,Gene Expression
LINC01389,Gene Expression
FOXE3,Gene Expression
FOXD2-AS1,Gene Expression
FOXD2,Gene Expression
SLC5A9,Gene Expression
AL109659.2,Gene Expression
SPATA6,Gene Expression
AGBL4,Gene Expression
BEND5,Gene Expression
ELAVL4,Gene Expression
DMRTA2,Gene Expression
FAF1,Gene Expression
CDKN2C,Gene Expression
LINC01562,Gene Expression
RNF11,Gene Expression
AL162430.2,Gene Expression
TTC39A,Gene Expression
TTC39A-AS1,Gene Expression
EPS15,Gene Expression
AC104170.1,Gene Expression
OSBPL9,Gene Expression
NRDC,Gene Expression
AL050343.2,Gene Expression
RAB3B,Gene Expression
TXNDC12,Gene Expression
KTI12,Gene Expression
AL445685.1,Gene Expression
TXNDC12-AS1,Gene Expression
BTF3L4,Gene Expression
ZFYVE9,Gene Expression
CC2D1B,Gene Expression
AL513218.1,Gene Expression
ORC1,Gene Expression
PRPF38A,Gene Expression
TUT4,Gene Expression
AL591167.1,Gene Expression
GPX7,Gene Expression
SHISAL2A,Gene Expression
COA7,Gene Expression
ZYG11B,Gene Expression
ZYG11A,Gene Expression
ECHDC2,Gene Expression
SCP2,Gene Expression
PODN,Gene Expression
AL445183.1,Gene Expression
SLC1A7,Gene Expression
AL445183.2,Gene Expression
CPT2,Gene Expression
AL606760.2,Gene Expression
AL606760.3,Gene Expression
MAGOH,Gene Expression
AL606760.1,Gene Expression
LRP8,Gene Expression
AL355483.3,Gene Expression
AL355483.2,Gene Expression
LINC01771,Gene Expression
GLIS1,Gene Expression
NDC1,Gene Expression
YIPF1,Gene Expression
DIO1,Gene Expression
HSPB11,Gene Expression
LRRC42,Gene Expression
LDLRAD1,Gene Expression
TMEM59,Gene Expression
TCEANC2,Gene Expression
CDCP2,Gene Expression
AL357673.2,Gene Expression
CYB5RL,Gene Expression
MRPL37,Gene Expression
SSBP3,Gene Expression
SSBP3-AS1,Gene Expression
AL161644.1,Gene Expression
ACOT11,Gene Expression
MROH7,Gene Expression
TTC4,Gene Expression
PARS2,Gene Expression
TTC22,Gene Expression
AC096536.1,Gene Expression
LEXM,Gene Expression
DHCR24,Gene Expression
AC096536.2,Gene Expression
TMEM61,Gene Expression
BSND,Gene Expression
PCSK9,Gene Expression
USP24,Gene Expression
MIR4422HG,Gene Expression
AL603840.1,Gene Expression
AC119674.1,Gene Expression
PLPP3,Gene Expression
PRKAA2,Gene Expression
DAB1,Gene Expression
DAB1-AS1,Gene Expression
OMA1,Gene Expression
TACSTD2,Gene Expression
MYSM1,Gene Expression
AL136985.3,Gene Expression
JUN,Gene Expression
LINC01135,Gene Expression
AL136985.2,Gene Expression
LINC01358,Gene Expression
AL592431.1,Gene Expression
AC093424.1,Gene Expression
FGGY,Gene Expression
HOOK1,Gene Expression
CYP2J2,Gene Expression
C1orf87,Gene Expression
LINC01748,Gene Expression
NFIA,Gene Expression
NFIA-AS2,Gene Expression
AC099791.3,Gene Expression
TM2D1,Gene Expression
AC099791.2,Gene Expression
PATJ,Gene Expression
L1TD1,Gene Expression
KANK4,Gene Expression
USP1,Gene Expression
DOCK7,Gene Expression
ANGPTL3,Gene Expression
AC103923.1,Gene Expression
ATG4C,Gene Expression
AC099794.1,Gene Expression
FOXD3-AS1,Gene Expression
FOXD3,Gene Expression
ALG6,Gene Expression
ITGB3BP,Gene Expression
EFCAB7,Gene Expression
PGM1,Gene Expression
ROR1,Gene Expression
ROR1-AS1,Gene Expression
CACHD1,Gene Expression
RAVER2,Gene Expression
JAK1,Gene Expression
AK4,Gene Expression
DNAJC6,Gene Expression
LEPROT,Gene Expression
LEPR,Gene Expression
AL513493.1,Gene Expression
PDE4B,Gene Expression
SGIP1,Gene Expression
AL139147.1,Gene Expression
TCTEX1D1,Gene Expression
INSL5,Gene Expression
MIER1,Gene Expression
SLC35D1,Gene Expression
C1orf141,Gene Expression
IL23R,Gene Expression
IL12RB2,Gene Expression
SERBP1,Gene Expression
GADD45A,Gene Expression
GNG12,Gene Expression
DIRAS3,Gene Expression
WLS,Gene Expression
RPE65,Gene Expression
DEPDC1,Gene Expression
AL138789.1,Gene Expression
DEPDC1-AS1,Gene Expression
AL035412.1,Gene Expression
LRRC7,Gene Expression
LRRC40,Gene Expression
SRSF11,Gene Expression
AL353771.1,Gene Expression
ANKRD13C,Gene Expression
HHLA3,Gene Expression
CTH,Gene Expression
PTGER3,Gene Expression
AL031429.1,Gene Expression
ZRANB2-AS1,Gene Expression
ZRANB2,Gene Expression
NEGR1,Gene Expression
AL583808.1,Gene Expression
LRRIQ3,Gene Expression
FPGT,Gene Expression
TNNI3K,Gene Expression
AC105271.1,Gene Expression
ERICH3,Gene Expression
AC135803.1,Gene Expression
CRYZ,Gene Expression
TYW3,Gene Expression
SLC44A5,Gene Expression
ACADM,Gene Expression
RABGGTB,Gene Expression
MSH4,Gene Expression
ST6GALNAC3,Gene Expression
AC104458.1,Gene Expression
ST6GALNAC5,Gene Expression
AL035409.1,Gene Expression
PIGK,Gene Expression
AK5,Gene Expression
AC095030.1,Gene Expression
USP33,Gene Expression
MIGA1,Gene Expression
NEXN-AS1,Gene Expression
NEXN,Gene Expression
FUBP1,Gene Expression
DNAJB4,Gene Expression
GIPC2,Gene Expression
AC103591.3,Gene Expression
PTGFR,Gene Expression
IFI44L,Gene Expression
IFI44,Gene Expression
ADGRL4,Gene Expression
LINC01781,Gene Expression
ADGRL2,Gene Expression
LINC01362,Gene Expression
LINC01361,Gene Expression
LINC01712,Gene Expression
LINC01725,Gene Expression
TTLL7,Gene Expression
PRKACB,Gene Expression
SAMD13,Gene Expression
AL844170.1,Gene Expression
RPF1,Gene Expression
GNG5,Gene Expression
SPATA1,Gene Expression
CTBS,Gene Expression
AL359762.2,Gene Expression
SSX2IP,Gene Expression
LPAR3,Gene Expression
MCOLN2,Gene Expression
MCOLN3,Gene Expression
SYDE2,Gene Expression
C1orf52,Gene Expression
BCL10,Gene Expression
AL078459.1,Gene Expression
DDAH1,Gene Expression
AC092807.3,Gene Expression
AC092807.2,Gene Expression
ZNHIT6,Gene Expression
COL24A1,Gene Expression
ODF2L,Gene Expression
CLCA4,Gene Expression
SH3GLB1,Gene Expression
AL355981.1,Gene Expression
SELENOF,Gene Expression
HS2ST1,Gene Expression
AL121989.1,Gene Expression
LINC01140,Gene Expression
LMO4,Gene Expression
LINC01364,Gene Expression
PKN2-AS1,Gene Expression
PKN2,Gene Expression
GTF2B,Gene Expression
KYAT3,Gene Expression
RBMXL1,Gene Expression
GBP3,Gene Expression
GBP1,Gene Expression
GBP2,Gene Expression
GBP7,Gene Expression
GBP4,Gene Expression
AC099063.4,Gene Expression
GBP5,Gene Expression
AC099063.1,Gene Expression
GBP6,Gene Expression
LRRC8B,Gene Expression
LRRC8C-DT,Gene Expression
LRRC8C,Gene Expression
LRRC8D,Gene Expression
AL391497.1,Gene Expression
ZNF326,Gene Expression
LINC01763,Gene Expression
AC091614.1,Gene Expression
ZNF644,Gene Expression
HFM1,Gene Expression
CDC7,Gene Expression
TGFBR3,Gene Expression
BRDT,Gene Expression
EPHX4,Gene Expression
SETSIP,Gene Expression
BTBD8,Gene Expression
AC104836.1,Gene Expression
C1orf146,Gene Expression
GLMN,Gene Expression
RPAP2,Gene Expression
GFI1,Gene Expression
EVI5,Gene Expression
RPL5,Gene Expression
MTF2,Gene Expression
TMED5,Gene Expression
CCDC18,Gene Expression
DR1,Gene Expression
FNBP1L,Gene Expression
BCAR3,Gene Expression
DNTTIP2,Gene Expression
GCLM,Gene Expression
ABCA4,Gene Expression
ARHGAP29,Gene Expression
ABCD3,Gene Expression
F3,Gene Expression
SLC44A3,Gene Expression
CNN3,Gene Expression
ALG14,Gene Expression
AC092802.1,Gene Expression
RWDD3,Gene Expression
AC092802.2,Gene Expression
PTBP2,Gene Expression
