,P1 Base,P1 Prog,P1 Conv,P2 Base,P2 Prog,P2 Conv,P3 Base,P3 Prog,P3 Conv,P4 Base,P4 Prog,P4 Conv,P5 Base,P5 Prog,P5 Conv
T_clonotype95,0,0,0,0,0,0,0,0,0,11,18,11,0,0,0
T_clonotype101,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype105,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype110,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype87,0,0,0,4,18,16,0,0,0,0,0,0,0,0,0
T_clonotype72,7,13,15,2,0,0,0,0,0,0,0,0,0,0,0
T_clonotype88,10,3,24,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype109,0,0,0,0,0,0,1,23,13,0,0,0,0,0,0
T_clonotype107,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype106,0,0,0,0,0,1,0,0,0,1,23,12,0,0,0
T_clonotype89,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype113,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype103,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
T_clonotype123,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype100,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype79,5,10,19,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype121,0,0,0,0,0,0,0,0,0,15,13,5,0,0,0
T_clonotype108,0,0,0,3,18,11,0,0,0,0,0,1,0,0,0
T_clonotype118,0,0,0,0,0,0,0,0,0,5,11,17,0,0,0
T_clonotype111,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0
T_clonotype102,0,0,0,0,0,0,0,0,0,12,11,10,0,0,0
T_clonotype122,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype90,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype120,0,0,0,0,0,0,0,0,0,5,19,8,0,0,0
T_clonotype115,0,0,0,0,0,0,1,20,10,0,0,0,0,0,0
T_clonotype126,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0
T_clonotype119,0,0,0,0,0,0,1,14,15,0,0,0,1,0,0
T_clonotype125,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0
T_clonotype130,0,0,0,1,20,9,0,0,0,0,0,0,0,0,0
T_clonotype116,0,0,0,5,18,7,0,0,0,0,0,0,0,0,0
T_clonotype128,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype124,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype133,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype114,0,0,0,1,18,8,0,0,0,0,0,0,0,0,0
T_clonotype104,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype142,0,0,0,3,9,13,0,0,0,0,0,0,0,0,0
T_clonotype144,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype117,0,0,0,1,18,6,0,0,0,0,0,0,0,0,0
T_clonotype127,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype129,13,5,4,0,1,0,0,0,0,0,0,0,0,0,0
T_clonotype132,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype134,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype139,0,0,0,0,0,0,0,0,0,1,12,9,0,0,0
T_clonotype112,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0
